LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE-500,532312,GEOMETRIC L, 0.65 ,Information Technology
BSE-500,532371,TATA TELESRV, 0.25 ,Telecom
BSE-500,532374,STER TECH, 0.50 ,Capital Goods
BSE-500,532430,BF UTILITIES, 0.35 ,Power
BSE-500,532508,JSL, 0.55 ,"Metal,Metal Products & Mining"
BSE-500,532525,BANK MAHA, 0.20 ,Finance
BSE-500,532725,SOLAR IND, 0.25 ,Capital Goods
BSE-500,532748,PRIME FOCUS, 0.55 ,Media & Publishing
BSE-500,532749,ALLCARGO, 0.30 ,Transport Services
BSE-500,532780,PARSVNATH, 0.30 ,Housing Related
BSE-500,532787,ESS DEE ALUM, 0.45 ,Miscellaneous
BSE-500,532795,SITICABLE, 0.40 ,Media & Publishing
BSE-500,532840,ADVANTA, 0.35 ,Agriculture
BSE-500,532854,NITIN FIRE, 0.30 ,Capital Goods
BSE-500,532892,MOTILALOFS, 0.30 ,Finance
BSE-500,532899,KAVERI SEED, 0.35 ,Agriculture
BSE-500,532953,V GUARD IND, 0.35 ,Capital Goods
BSE-500,532997,KSK ENERGY, 0.20 ,Power
BSE-500,533088,MAH HOLIDAY, 0.20 ,Tourism
BSE-500,533261,EROS MEDIA, 0.25 ,Media & Publishing
BSE-500,533281,TECHNO ELE, 0.50 ,Capital Goods
BSE-500,533288,CLARIS LIFE, 0.40 ,Healthcare
BSE-500,533309,DALMIABHA, 0.35 ,Housing Related
BSE-500,533326,TEXMACO RAIL, 0.40 ,Capital Goods
BSE-500,533540,TREE HOUSE, 0.70 ,Miscellaneous
BSE-500,533655,TRIVENITURB, 0.30 ,Capital Goods
BSE-500,534139,SCHNEIDER, 0.30 ,Capital Goods
BSE-500,500148,UFLEX LTD, 0.55 ,Chemical & Petrochemical
BSE-500,500179,HCL INFOSYS, 0.50 ,Information Technology
BSE-500,500187,HSIL, 0.40 ,Housing Related
BSE-500,500191,HMT LTD, 0.05 ,Capital Goods
BSE-500,500193,HOTEL LEELAV, 0.35 ,Tourism
BSE-500,500227,JINDAL POLFM, 0.30 ,Miscellaneous
BSE-500,500304,NIIT LTD, 0.70 ,Information Technology
BSE-500,500408,TATA ELXSI, 0.55 ,Information Technology
BSE-500,500413,THOMAS CK IN, 0.15 ,Tourism
BSE-500,500940,FINOLEX IND, 0.50 ,Chemical & Petrochemical
BSE-500,502330,ANDHR PR P M, 0.25 ,Miscellaneous
BSE-500,503310,SWAN ENG, 0.25 ,Textile
BSE-500,505700,ELECON ENG C, 0.55 ,Capital Goods
BSE-500,506022,PRAKASH IND., 0.55 ,Miscellaneous
BSE-500,506074,ARSHYIA INTL, 0.60 ,Capital Goods
BSE-500,506480,GULF OIL COR, 0.45 ,Diversified
BSE-500,506820,ASTRAZEN PHA, 0.10 ,Healthcare
BSE-500,506943,J B CHEM PHR, 0.45 ,Healthcare
BSE-500,507458,UNITED BREWR, 0.60 ,Finance
BSE-500,509550,GAMMON INDI, 0.65 ,Capital Goods
BSE-500,509631,HEG LIMITED, 0.45 ,Capital Goods
BSE-500,512237,JAI CORP LIM, 0.30 ,"Metal,Metal Products & Mining"
BSE-500,512463,SHREE GLOBAL, 0.30 ,Finance
BSE-500,513216,UTTAM GALVA, 0.30 ,"Metal,Metal Products & Mining"
BSE-500,513250,JYOTI STRUCT, 0.75 ,Capital Goods
BSE-500,514304,S. KUMAR NAT, 0.60 ,Textile
BSE-500,515030,ASAHI INDIA, 0.45 ,Transport Equipments
BSE-500,517385,SYMPHONY, 0.25 ,Consumer Durables
BSE-500,522113,TIMKEM LT, 0.20 ,Capital Goods
BSE-500,522175,SHIVVANI OIL, 0.50 ,Oil & Gas
BSE-500,523319,BALMER LAWRI, 0.40 ,Miscellaneous
BSE-500,523445,REL INDL INF, 0.55 ,Capital Goods
BSE-500,523630,NATIONAL FER, 0.05 ,Agriculture
BSE-500,524051,POLYPLEX COR, 0.55 ,Miscellaneous
BSE-500,524084,MONSANTO IND, 0.30 ,Agriculture
BSE-500,524230,RASHTRIYA CH, 0.10 ,Agriculture
BSE-500,524372,ORCHID CHEM, 0.60 ,Healthcare
BSE-500,524552,SHASUNPHAR, 0.50 ,Healthcare
BSE-500,526235,MERCATOR, 0.60 ,Diversified
BSE-500,526853,BILCARE LT, 0.60 ,Healthcare
BSE-500,531120,PATEL ENGINR, 0.50 ,Housing Related
BSE-500,532200,STATE BK MYS, 0.10 ,Finance
BSE-500,532322,ELDER PHARMA, 0.40 ,Healthcare
BSE-500,532475,APTECH LTD, 0.65 ,Information Technology
BSE-500,532481,NOIDA TOL BR, 0.70 ,Capital Goods
BSE-500,532545,FKONCO, 0.20 ,Healthcare
BSE-500,532642,JINDAL SOUTH, 0.45 ,Finance
BSE-500,532678,BOMBAY RAYON, 0.10 ,Textile
BSE-500,532691,TULIP TELE, 0.35 ,Telecom
BSE-500,532700,ENT NETWORK, 0.30 ,Media & Publishing
BSE-500,532775,GTL INFRAST, 0.35 ,Telecom
BSE-500,532786,GREAT OFFSH, 0.55 ,Transport Services
BSE-500,532793,SHREE ASHTA, 1.00 ,Media & Publishing
BSE-500,532856,TIME TECHNO, 0.35 ,Miscellaneous
BSE-500,532880,OMAXE LTD, 0.15 ,Housing Related
BSE-500,532891,PURAVANKARA, 0.15 ,Housing Related
BSE-500,532930,BGR ENERGY, 0.20 ,Capital Goods
BSE-500,532944,ONMOBILE, 0.65 ,Telecom
BSE-500,532966,TITAGARH WAG, 0.35 ,Capital Goods
BSE-500,533171,UNITED BANK, 0.15 ,Finance
BSE-500,533180,SHREEGANESH, 0.30 ,Consumer Durables
BSE-500,533204,MANDHANA, 0.40 ,Textile
BSE-500,533282,GRAVITA, 0.30 ,"Metal,Metal Products & Mining"
BSE-500,533292,A2ZMES, 0.60 ,Capital Goods
BSE-500,533295,PUNJABNSIND, 0.20 ,Finance
BSE-500,533343,LOVABLE, 0.35 ,Textile
BSE-500,533790,KGN ENT, 0.50 ,Oil & Gas
BSE-500,500160,GTL LIMITED, 0.30 ,Telecom
BSE-500,503699,GEOD LTD, 0.75 ,Information Technology
BSE-500,512531,ST TRAD CORP, 0.10 ,Miscellaneous
BSE-500,526015,KEMROC IND E, 0.70 ,Miscellaneous
BSE-500,532608,DECCAN CHR, 0.30 ,Media & Publishing
BSE-500,532672,GLODYNE TECH, 0.55 ,Information Technology
BSE-500,532883,ZYLOG SYSTEM, 0.60 ,Information Technology
BSE-100,500875,I T C LTD, 0.70 ,FMCG
BSE-100,500325,RELIANCE, 0.55 ,Oil & Gas
BSE-100,532174,ICICI BANK L, 1.00 ,Finance
BSE-100,500209,INFOSYS LTD, 0.85 ,Information Technology
BSE-100,500180,HDFC BANK LT, 0.80 ,Finance
BSE-100,500010,HOUSING DEVE, 1.00 ,Finance
BSE-100,500510,LARSEN & TOU, 0.90 ,Capital Goods
BSE-100,532540,TCS LTD., 0.30 ,Information Technology
BSE-100,500112,STATE BANK O, 0.40 ,Finance
BSE-100,500312,ONG CORP LTD, 0.25 ,Oil & Gas
BSE-100,500570,TATA MOTORS, 0.70 ,Transport Equipments
BSE-100,500696,HIND UNI LT, 0.50 ,FMCG
BSE-100,500520,MAHINDRA & M, 0.75 ,Transport Equipments
BSE-100,532454,BHARTI ARTL, 0.35 ,Telecom
BSE-100,532215,AXIS BANK, 0.65 ,Finance
BSE-100,524715,SUN PHARMACE, 0.40 ,Healthcare
BSE-100,532977,BAJAJ AUTO, 0.50 ,Transport Equipments
BSE-100,500470,TATA STL, 0.70 ,"Metal,Metal Products & Mining"
BSE-100,507685,WIPRO LTD., 0.25 ,Information Technology
BSE-100,500247,KOTAK BANK, 0.55 ,Finance
BSE-100,532555,NTPC LTD, 0.20 ,Power
BSE-100,500124,DR.REDDY'S L, 0.75 ,Healthcare
BSE-100,533278,COAL INDIA, 0.10 ,"Metal,Metal Products & Mining"
BSE-100,532500,MARUTISUZUK, 0.50 ,Transport Equipments
BSE-100,532792,CAIRN IND, 0.35 ,Oil & Gas
BSE-100,532659,IDFC, 0.85 ,Finance
BSE-100,500087,CIPLA LTD., 0.65 ,Healthcare
BSE-100,500820,ASIAN PAINTS, 0.50 ,Chemical & Petrochemical
BSE-100,532538,ULTRATECH CM, 0.40 ,Housing Related
BSE-100,500103,BHEL, 0.35 ,Capital Goods
BSE-100,500300,GRASIM INDUS, 0.70 ,Textile
BSE-100,500790,NESTLE LTD, 0.40 ,FMCG
BSE-100,532155,GAIL INDIA, 0.40 ,Oil & Gas
BSE-100,500182,HEROMOTOCO, 0.50 ,Transport Equipments
BSE-100,532898,POWER GRID, 0.35 ,Power
BSE-100,532187,INDUS IND BK, 0.80 ,Finance
BSE-100,532286,JINDAL STEEL, 0.45 ,"Metal,Metal Products & Mining"
BSE-100,500400,TATA POWER, 0.70 ,Power
BSE-100,532281,HCL TECHNO, 0.40 ,Information Technology
BSE-100,500900,STERLITE IN, 0.45 ,"Metal,Metal Products & Mining"
BSE-100,532432,UNITD SPR, 0.70 ,FMCG
BSE-100,500440,HINDALCO IN, 0.70 ,"Metal,Metal Products & Mining"
BSE-100,532134,BANK OF BARO, 0.45 ,Finance
BSE-100,500257,LUPIN LTD, 0.55 ,Healthcare
BSE-100,500425,AMBUJA CEME, 0.50 ,Housing Related
BSE-100,532648,YES BANK, 0.75 ,Finance
BSE-100,505537,ZEE ENTER, 0.60 ,Media & Publishing
BSE-100,500410,ACC LTD, 0.50 ,Housing Related
BSE-100,526371,NMDC LTD, 0.20 ,"Metal,Metal Products & Mining"
BSE-100,500114,TITAN IND., 0.50 ,Consumer Durables
BSE-100,532461,PUNJAB NATBK, 0.40 ,Finance
BSE-100,532532,JAIPRAK ASSO, 0.55 ,Housing Related
BSE-100,500547,BHARAT PETRO, 0.40 ,Oil & Gas
BSE-100,500830,COLGATE PALM, 0.50 ,FMCG
BSE-100,532868,DLF LIMITED, 0.25 ,Housing Related
BSE-100,511218,SHRIRAM TRAN, 0.55 ,Finance
BSE-100,500228,JSW SL, 0.50 ,"Metal,Metal Products & Mining"
BSE-100,532822,IDEA CELL, 0.25 ,Telecom
BSE-100,532955,RECLTD, 0.35 ,Finance
BSE-100,500253,LIC H. FINAN, 0.60 ,Finance
BSE-100,500469,FEDERAL BANK, 1.00 ,Finance
BSE-100,532424,GODREJ CONS, 0.35 ,FMCG
BSE-100,500359,RANBAXY LABO, 0.40 ,Healthcare
BSE-100,500376,SATYAM COMP, 0.60 ,Information Technology
BSE-100,532810,POWER FINAN, 0.30 ,Finance
BSE-100,500390,REL INFRA, 0.55 ,Power
BSE-100,532483,CANARA BANK, 0.35 ,Finance
BSE-100,500096,DABUR INDIA, 0.35 ,FMCG
BSE-100,500295,SESA GOA LTD, 0.45 ,"Metal,Metal Products & Mining"
BSE-100,532296,GLENMARK PHA, 0.55 ,Healthcare
BSE-100,532149,BANK OF INDI, 0.35 ,Finance
BSE-100,500480,CUMMINS INDI, 0.50 ,Transport Equipments
BSE-100,512599,ADANI ENTER, 0.25 ,Diversified
BSE-100,532488,Divi's Lab, 0.50 ,Healthcare
BSE-100,500550,SIEMENS LTD, 0.30 ,Capital Goods
BSE-100,530965,INDIAN OIL C, 0.10 ,Oil & Gas
BSE-100,500086,EXIDE INDUS, 0.55 ,Transport Equipments
BSE-100,532921,ADANI PORTS, 0.25 ,Transport Services
BSE-100,500770,TATA CHEMICA, 0.70 ,Chemical & Petrochemical
BSE-100,500800,TATAGLOBAL, 0.65 ,FMCG
BSE-100,532477,UNION BANK, 0.45 ,Finance
BSE-100,500111,RELIANCE CAP, 0.50 ,Finance
BSE-100,500113,STEEL AUTHOR, 0.15 ,"Metal,Metal Products & Mining"
BSE-100,500188,HIND.ZINC, 0.10 ,"Metal,Metal Products & Mining"
BSE-100,532712,REL COM LTD, 0.35 ,Telecom
BSE-100,500104,HINDUSTAN PE, 0.50 ,Oil & Gas
BSE-100,507878,UNITECH LTD, 0.55 ,Housing Related
BSE-100,532544,INDIABULLS, 0.55 ,Finance
BSE-100,532939,RPOWER, 0.20 ,Power
BSE-100,533098,NHPC, 0.15 ,Power
BSE-100,500093,CROMPTON GRE, 0.60 ,Capital Goods
BSE-100,512070,UNITED PHOSP, 0.75 ,Agriculture
BSE-100,533096,ADANI POWER, 0.30 ,Power
BSE-100,500116,IDBI BANK L, 0.30 ,Finance
BSE-100,500002,ABB LTD, 0.25 ,Capital Goods
BSE-100,500477,ASHOK LEYLND, 0.50 ,Transport Equipments
BSE-100,500493,BHARAT FORGE, 0.60 ,Transport Equipments
BSE-100,532873,HOUSING DEV, 0.65 ,Housing Related
BSE-100,532754,GMR INFRASTR, 0.30 ,Power
BSE-100,532667,SUZLONENERGY, 0.50 ,Capital Goods
BSE-200,500875,I T C LTD, 0.70 ,FMCG
BSE-200,500325,RELIANCE, 0.55 ,Oil & Gas
BSE-200,532174,ICICI BANK L, 1.00 ,Finance
BSE-200,500209,INFOSYS LTD, 0.85 ,Information Technology
BSE-200,500180,HDFC BANK LT, 0.80 ,Finance
BSE-200,500010,HOUSING DEVE, 1.00 ,Finance
BSE-200,500510,LARSEN & TOU, 0.90 ,Capital Goods
BSE-200,532540,TCS LTD., 0.30 ,Information Technology
BSE-200,500112,STATE BANK O, 0.40 ,Finance
BSE-200,500570,TATA MOTORS, 0.70 ,Transport Equipments
BSE-200,500312,ONG CORP LTD, 0.25 ,Oil & Gas
BSE-200,500696,HIND UNI LT, 0.50 ,FMCG
BSE-200,500520,MAHINDRA & M, 0.75 ,Transport Equipments
BSE-200,532454,BHARTI ARTL, 0.35 ,Telecom
BSE-200,532215,AXIS BANK, 0.65 ,Finance
BSE-200,524715,SUN PHARMACE, 0.40 ,Healthcare
BSE-200,532977,BAJAJ AUTO, 0.50 ,Transport Equipments
BSE-200,500470,TATA STL, 0.70 ,"Metal,Metal Products & Mining"
BSE-200,500247,KOTAK BANK, 0.55 ,Finance
BSE-200,507685,WIPRO LTD., 0.25 ,Information Technology
BSE-200,532555,NTPC LTD, 0.20 ,Power
BSE-200,500124,DR.REDDY'S L, 0.75 ,Healthcare
BSE-200,533278,COAL INDIA, 0.10 ,"Metal,Metal Products & Mining"
BSE-200,532500,MARUTISUZUK, 0.50 ,Transport Equipments
BSE-200,532792,CAIRN IND, 0.35 ,Oil & Gas
BSE-200,532659,IDFC, 0.85 ,Finance
BSE-200,500087,CIPLA LTD., 0.65 ,Healthcare
BSE-200,500820,ASIAN PAINTS, 0.50 ,Chemical & Petrochemical
BSE-200,532538,ULTRATECH CM, 0.40 ,Housing Related
BSE-200,500103,BHEL, 0.35 ,Capital Goods
BSE-200,500300,GRASIM INDUS, 0.70 ,Textile
BSE-200,500790,NESTLE LTD, 0.40 ,FMCG
BSE-200,532155,GAIL INDIA, 0.40 ,Oil & Gas
BSE-200,500182,HEROMOTOCO, 0.50 ,Transport Equipments
BSE-200,532286,JINDAL STEEL, 0.45 ,"Metal,Metal Products & Mining"
BSE-200,532898,POWER GRID, 0.35 ,Power
BSE-200,532187,INDUS IND BK, 0.80 ,Finance
BSE-200,532281,HCL TECHNO, 0.40 ,Information Technology
BSE-200,500400,TATA POWER, 0.70 ,Power
BSE-200,500900,STERLITE IN, 0.45 ,"Metal,Metal Products & Mining"
BSE-200,532432,UNITD SPR, 0.70 ,FMCG
BSE-200,500440,HINDALCO IN, 0.70 ,"Metal,Metal Products & Mining"
BSE-200,532134,BANK OF BARO, 0.45 ,Finance
BSE-200,500257,LUPIN LTD, 0.55 ,Healthcare
BSE-200,500425,AMBUJA CEME, 0.50 ,Housing Related
BSE-200,532648,YES BANK, 0.75 ,Finance
BSE-200,505537,ZEE ENTER, 0.60 ,Media & Publishing
BSE-200,526371,NMDC LTD, 0.20 ,"Metal,Metal Products & Mining"
BSE-200,500410,ACC LTD, 0.50 ,Housing Related
BSE-200,500114,TITAN IND., 0.50 ,Consumer Durables
BSE-200,532461,PUNJAB NATBK, 0.40 ,Finance
BSE-200,532532,JAIPRAK ASSO, 0.55 ,Housing Related
BSE-200,500547,BHARAT PETRO, 0.40 ,Oil & Gas
BSE-200,500830,COLGATE PALM, 0.50 ,FMCG
BSE-200,500676,GLAXOSMI CON, 0.60 ,FMCG
BSE-200,511218,SHRIRAM TRAN, 0.55 ,Finance
BSE-200,532868,DLF LIMITED, 0.25 ,Housing Related
BSE-200,500228,JSW SL, 0.50 ,"Metal,Metal Products & Mining"
BSE-200,500660,GLAXOSMITH, 0.50 ,Healthcare
BSE-200,532822,IDEA CELL, 0.25 ,Telecom
BSE-200,500253,LIC H. FINAN, 0.60 ,Finance
BSE-200,500469,FEDERAL BANK, 1.00 ,Finance
BSE-200,500530,BOSCH LTD, 0.30 ,Transport Equipments
BSE-200,532424,GODREJ CONS, 0.35 ,FMCG
BSE-200,532955,RECLTD, 0.35 ,Finance
BSE-200,500359,RANBAXY LABO, 0.40 ,Healthcare
BSE-200,500376,SATYAM COMP, 0.60 ,Information Technology
BSE-200,532810,POWER FINAN, 0.30 ,Finance
BSE-200,500096,DABUR INDIA, 0.35 ,FMCG
BSE-200,500390,REL INFRA, 0.55 ,Power
BSE-200,532483,CANARA BANK, 0.35 ,Finance
BSE-200,500295,SESA GOA LTD, 0.45 ,"Metal,Metal Products & Mining"
BSE-200,532296,GLENMARK PHA, 0.55 ,Healthcare
BSE-200,500480,CUMMINS INDI, 0.50 ,Transport Equipments
BSE-200,512599,ADANI ENTER, 0.25 ,Diversified
BSE-200,532149,BANK OF INDI, 0.35 ,Finance
BSE-200,500550,SIEMENS LTD, 0.30 ,Capital Goods
BSE-200,530965,INDIAN OIL C, 0.10 ,Oil & Gas
BSE-200,532488,Divi's Lab, 0.50 ,Healthcare
BSE-200,500086,EXIDE INDUS, 0.55 ,Transport Equipments
BSE-200,500490,BAJ HOLD INV, 0.60 ,Finance
BSE-200,532921,ADANI PORTS, 0.25 ,Transport Services
BSE-200,500303,ADI BIR NUVO, 0.50 ,Diversified
BSE-200,500770,TATA CHEMICA, 0.70 ,Chemical & Petrochemical
BSE-200,500800,TATAGLOBAL, 0.65 ,FMCG
BSE-200,532477,UNION BANK, 0.45 ,Finance
BSE-200,532478,UNITED BREW, 0.30 ,FMCG
BSE-200,508869,APOLLO HOS E, 0.55 ,Healthcare
BSE-200,500111,RELIANCE CAP, 0.50 ,Finance
BSE-200,531642,MARICO LTD, 0.40 ,FMCG
BSE-200,500104,HINDUSTAN PE, 0.50 ,Oil & Gas
BSE-200,500113,STEEL AUTHOR, 0.15 ,"Metal,Metal Products & Mining"
BSE-200,500188,HIND.ZINC, 0.10 ,"Metal,Metal Products & Mining"
BSE-200,532466,ORACLE FIN, 0.20 ,Information Technology
BSE-200,532712,REL COM LTD, 0.35 ,Telecom
BSE-200,532720,M&M FINANSER, 0.45 ,Finance
BSE-200,532755,TECH MAH, 0.45 ,Information Technology
BSE-200,532978,BAJAJ FINSE, 0.40 ,Finance
BSE-200,507878,UNITECH LTD, 0.55 ,Housing Related
BSE-200,532300,WOCKHARDT LT, 0.30 ,Healthcare
BSE-200,532321,CADILA HEALT, 0.30 ,Healthcare
BSE-200,532544,INDIABULLS, 0.55 ,Finance
BSE-200,531807,ING VYSYA BK, 0.60 ,Finance
BSE-200,532939,RPOWER, 0.20 ,Power
BSE-200,500302,PEL, 0.50 ,Healthcare
BSE-200,531344,CONTAIN CORP, 0.40 ,Transport Services
BSE-200,532522,PETRONET LNG, 0.40 ,Oil & Gas
BSE-200,533098,NHPC, 0.15 ,Power
BSE-200,500093,CROMPTON GRE, 0.60 ,Capital Goods
BSE-200,500870,CASTROL INDI, 0.30 ,Oil & Gas
BSE-200,512070,UNITED PHOSP, 0.75 ,Agriculture
BSE-200,532531,STRIDES ARCO, 0.75 ,Healthcare
BSE-200,500116,IDBI BANK L, 0.30 ,Finance
BSE-200,500271,MAX INDIA L., 0.65 ,Diversified
BSE-200,500315,ORIENTAL BK, 0.45 ,Finance
BSE-200,533096,ADANI POWER, 0.30 ,Power
BSE-200,533106,OIL INDIA, 0.15 ,Oil & Gas
BSE-200,517334,MOTH SUMI SY, 0.35 ,Transport Equipments
BSE-200,500002,ABB LTD, 0.25 ,Capital Goods
BSE-200,500387,SHREE CEMENT, 0.25 ,Housing Related
BSE-200,533155,JUBL FOOD, 0.45 ,FMCG
BSE-200,500092,CRISIL LTD, 0.50 ,Finance
BSE-200,500290,M.R.F LTD, 0.60 ,Transport Equipments
BSE-200,500331,PIDILITE IND, 0.30 ,Chemical & Petrochemical
BSE-200,500477,ASHOK LEYLND, 0.50 ,Transport Equipments
BSE-200,500493,BHARAT FORGE, 0.60 ,Transport Equipments
BSE-200,524494,IPCA LAB LTD, 0.55 ,Healthcare
BSE-200,532480,ALLAHABAD BK, 0.40 ,Finance
BSE-200,500055,BHUSH STEEL, 0.35 ,"Metal,Metal Products & Mining"
BSE-200,500850,INDIAN HOTEL, 0.65 ,Tourism
BSE-200,513377,M M T C LTD., 0.05 ,Miscellaneous
BSE-200,532418,ANDHRA BANK, 0.45 ,Finance
BSE-200,532733,SUN TVNET, 0.20 ,Media & Publishing
BSE-200,532779,TORNT POWER, 0.40 ,Power
BSE-200,532839,DISH TV, 0.40 ,Media & Publishing
BSE-200,532873,HOUSING DEV, 0.65 ,Housing Related
BSE-200,500411,THERMAX LMTD, 0.40 ,Capital Goods
BSE-200,500620,GREAT EASTE, 0.75 ,Transport Services
BSE-200,500825,BRITANIA IN, 0.50 ,FMCG
BSE-200,523574,PANTAL RETAI, 0.55 ,Miscellaneous
BSE-200,526299,MPHASIS LTD, 0.35 ,Information Technology
BSE-200,526881,FINANC TECHN, 0.55 ,Information Technology
BSE-200,533107,PIPAVAVDOC, 0.50 ,Capital Goods
BSE-200,500043,BATA INDI LT, 0.50 ,FMCG
BSE-200,500049,BHARAT ELECT, 0.25 ,Capital Goods
BSE-200,500106,IFCI LTD, 0.45 ,Finance
BSE-200,500164,GODREJ INDUS, 0.25 ,Chemical & Petrochemical
BSE-200,500877,APOLLO TYRE., 0.60 ,Transport Equipments
BSE-200,506395,COROM INTER, 0.35 ,Agriculture
BSE-200,511389,VIDEOCON IND, 0.35 ,Consumer Durables
BSE-200,524804,AUROBINDO PH, 0.50 ,Healthcare
BSE-200,533148,JSW ENERGY, 0.25 ,Power
BSE-200,500040,CENTURY TEXT, 0.60 ,Housing Related
BSE-200,500575,VOLTAS LTD, 0.70 ,Diversified
BSE-200,517354,HAVELLSINDIA, 0.30 ,Capital Goods
BSE-200,532276,SYNDICATE, 0.30 ,Finance
BSE-200,532702,GUJ PETRONET, 0.55 ,Oil & Gas
BSE-200,532715,GITANJALI GE, 0.45 ,Consumer Durables
BSE-200,532754,GMR INFRASTR, 0.30 ,Power
BSE-200,500219,JAIN IRRI SY, 0.60 ,Agriculture
BSE-200,531213,MANAP FIN, 0.60 ,Finance
BSE-200,532388,INDIAN OVERS, 0.30 ,Finance
BSE-200,532523,BIOCON LTD, 0.40 ,Healthcare
BSE-200,532654,MCLEOD RUSSE, 0.55 ,FMCG
BSE-200,500084,CESC LTD, 0.50 ,Power
BSE-200,530005,INDIA CEMENT, 0.75 ,Housing Related
BSE-200,531500,RAJESH EXPOT, 0.50 ,Consumer Durables
BSE-200,532129,HEXAWARE LTD, 0.75 ,Information Technology
BSE-200,532181,GUJ MIN DEVL, 0.30 ,"Metal,Metal Products & Mining"
BSE-200,532234,NAT ALUM CO, 0.15 ,"Metal,Metal Products & Mining"
BSE-200,532391,OPTO CIRCUIT, 0.75 ,Healthcare
BSE-200,532505,UCO BANK, 0.35 ,Finance
BSE-200,532514,INDRA GAS, 0.50 ,Oil & Gas
BSE-200,532524,PTC INDIA, 0.85 ,Power
BSE-200,532814,INDIAN BANK, 0.20 ,Finance
BSE-200,500109,MANGALORE RE, 0.15 ,Oil & Gas
BSE-200,500483,TATA COMM, 0.25 ,Telecom
BSE-200,532121,DENA BANK, 0.40 ,Finance
BSE-200,532178,ENGINER IN, 0.20 ,Miscellaneous
BSE-200,532627,JPPOWER, 0.15 ,Power
BSE-200,532667,SUZLONENERGY, 0.50 ,Capital Goods
BSE-200,532832,INDBUL REAL, 0.50 ,Housing Related
BSE-200,532947,IRB INFRA, 0.40 ,Housing Related
BSE-200,533207,JPINFRATEC, 0.20 ,Housing Related
BSE-200,500085,CHAMBAL FERT, 0.45 ,Agriculture
BSE-200,500134,ESSAR OIL LT, 0.15 ,Oil & Gas
BSE-200,500840,EIH LIMITED, 0.35 ,Tourism
BSE-200,502742,SINTEX INDUS, 0.65 ,Housing Related
BSE-200,513599,HIND.COPPER, 0.10 ,"Metal,Metal Products & Mining"
BSE-200,513683,NEYVELI LIG., 0.10 ,Power
BSE-200,532401,VIJAYA BANK, 0.45 ,Finance
BSE-200,532670,RENUKA SUGAR, 0.60 ,Agriculture
BSE-200,532693,PUNJ LLOYD, 0.65 ,Capital Goods
BSE-200,532885,CENTRAL BK, 0.20 ,Finance
BSE-200,534091,MCX LTD, 0.20 ,Finance
BSE-200,500173,GUJARAT FLUO, 0.30 ,Oil & Gas
BSE-200,517506,TTK PRESTIG, 0.30 ,Consumer Durables
BSE-200,530773,IVRCL LTD, 0.90 ,Housing Related
BSE-200,532617,JET AIRWAYS, 0.20 ,Transport Services
BSE-200,532778,LANCO INFRA, 0.30 ,Power
BSE CAPITAL GOODS SECTOR,500510,LARSEN & TOU, 0.90 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500103,BHEL, 0.35 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500550,SIEMENS LTD, 0.30 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500093,CROMPTON GRE, 0.60 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500002,ABB LTD, 0.25 ,Capital Goods
BSE CAPITAL GOODS SECTOR,533107,PIPAVAVDOC, 0.50 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500411,THERMAX LMTD, 0.40 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500049,BHARAT ELECT, 0.25 ,Capital Goods
BSE CAPITAL GOODS SECTOR,517354,HAVELLSINDIA, 0.30 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500252,LAKSHMI MA W, 0.65 ,Capital Goods
BSE CAPITAL GOODS SECTOR,532667,SUZLONENERGY, 0.50 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500472,SKF INDIA, 0.50 ,Capital Goods
BSE CAPITAL GOODS SECTOR,532144,WELCORP, 0.65 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500378,JINDAL SAW, 0.45 ,Capital Goods
BSE CAPITAL GOODS SECTOR,505790,FAG BEARING, 0.50 ,Capital Goods
BSE CAPITAL GOODS SECTOR,522275,ALSTOMT&D, 0.30 ,Capital Goods
BSE CAPITAL GOODS SECTOR,532683,AIAENGINEER, 0.40 ,Capital Goods
BSE CAPITAL GOODS SECTOR,532693,PUNJ LLOYD, 0.65 ,Capital Goods
BSE CAPITAL GOODS SECTOR,532710,SADBHAV ENGG, 0.55 ,Capital Goods
BSE CAPITAL GOODS SECTOR,532309,AIL, 0.35 ,Capital Goods
BSE CAPITAL GOODS SECTOR,500048,BEML LTD, 0.50 ,Capital Goods
BSE CAPITAL GOODS SECTOR,522205,PRAJ INDUSTR, 0.60 ,Capital Goods
BSE CONSUMER DURABLES SECTOR,500114,TITAN IND., 0.50 ,Consumer Durables
BSE CONSUMER DURABLES SECTOR,511389,VIDEOCON IND, 0.35 ,Consumer Durables
BSE CONSUMER DURABLES SECTOR,532715,GITANJALI GE, 0.45 ,Consumer Durables
BSE CONSUMER DURABLES SECTOR,531500,RAJESH EXPOT, 0.50 ,Consumer Durables
BSE CONSUMER DURABLES SECTOR,517506,TTK PRESTIG, 0.30 ,Consumer Durables
