LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE-500,500096,DABUR INDIA, 0.35 ,FMCG
BSE-500,500295,SESA GOA LTD, 0.45 ,"Metal,Metal Products & Mining"
BSE-500,500390,REL INFRA, 0.55 ,Power
BSE-500,532296,GLENMARK PHA, 0.55 ,Healthcare
BSE-500,532483,CANARA BANK, 0.35 ,Finance
BSE-500,532149,BANK OF INDI, 0.35 ,Finance
BSE-500,500480,CUMMINS INDI, 0.50 ,Transport Equipments
BSE-500,512599,ADANI ENTER, 0.25 ,Diversified
BSE-500,532488,Divi's Lab, 0.50 ,Healthcare
BSE-500,500550,SIEMENS LTD, 0.30 ,Capital Goods
BSE-500,530965,INDIAN OIL C, 0.10 ,Oil & Gas
BSE-500,500086,EXIDE INDUS, 0.55 ,Transport Equipments
BSE-500,500490,BAJ HOLD INV, 0.60 ,Finance
BSE-500,500770,TATA CHEMICA, 0.70 ,Chemical & Petrochemical
BSE-500,532477,UNION BANK, 0.45 ,Finance
BSE-500,532478,UNITED BREW, 0.30 ,FMCG
BSE-500,532921,ADANI PORTS, 0.25 ,Transport Services
BSE-500,500303,ADI BIR NUVO, 0.50 ,Diversified
BSE-500,500800,TATAGLOBAL, 0.65 ,FMCG
BSE-500,508869,APOLLO HOS E, 0.55 ,Healthcare
BSE-500,500111,RELIANCE CAP, 0.50 ,Finance
BSE-500,531642,MARICO LTD, 0.40 ,FMCG
BSE-500,500104,HINDUSTAN PE, 0.50 ,Oil & Gas
BSE-500,500113,STEEL AUTHOR, 0.15 ,"Metal,Metal Products & Mining"
BSE-500,500188,HIND.ZINC, 0.10 ,"Metal,Metal Products & Mining"
BSE-500,507878,UNITECH LTD, 0.55 ,Housing Related
BSE-500,532300,WOCKHARDT LT, 0.30 ,Healthcare
BSE-500,532466,ORACLE FIN, 0.20 ,Information Technology
BSE-500,532712,REL COM LTD, 0.35 ,Telecom
BSE-500,532720,M&M FINANSER, 0.45 ,Finance
BSE-500,532755,TECH MAH, 0.45 ,Information Technology
BSE-500,532978,BAJAJ FINSE, 0.40 ,Finance
BSE-500,532321,CADILA HEALT, 0.30 ,Healthcare
BSE-500,532544,INDIABULLS, 0.55 ,Finance
BSE-500,532939,RPOWER, 0.20 ,Power
BSE-500,500302,PEL, 0.50 ,Healthcare
BSE-500,531807,ING VYSYA BK, 0.60 ,Finance
BSE-500,500870,CASTROL INDI, 0.30 ,Oil & Gas
BSE-500,531344,CONTAIN CORP, 0.40 ,Transport Services
BSE-500,532522,PETRONET LNG, 0.40 ,Oil & Gas
BSE-500,533098,NHPC, 0.15 ,Power
BSE-500,500093,CROMPTON GRE, 0.60 ,Capital Goods
BSE-500,500116,IDBI BANK L, 0.30 ,Finance
BSE-500,500271,MAX INDIA L., 0.65 ,Diversified
BSE-500,500315,ORIENTAL BK, 0.45 ,Finance
BSE-500,512070,UNITED PHOSP, 0.75 ,Agriculture
BSE-500,532531,STRIDES ARCO, 0.75 ,Healthcare
BSE-500,533096,ADANI POWER, 0.30 ,Power
BSE-500,533106,OIL INDIA, 0.15 ,Oil & Gas
BSE-500,517334,MOTH SUMI SY, 0.35 ,Transport Equipments
BSE-500,500387,SHREE CEMENT, 0.25 ,Housing Related
BSE-500,532218,SOUTH INDIA, 1.00 ,Finance
BSE-500,500002,ABB LTD, 0.25 ,Capital Goods
BSE-500,500092,CRISIL LTD, 0.50 ,Finance
BSE-500,500290,M.R.F LTD, 0.60 ,Transport Equipments
BSE-500,500331,PIDILITE IND, 0.30 ,Chemical & Petrochemical
BSE-500,500477,ASHOK LEYLND, 0.50 ,Transport Equipments
BSE-500,500493,BHARAT FORGE, 0.60 ,Transport Equipments
BSE-500,532480,ALLAHABAD BK, 0.40 ,Finance
BSE-500,533155,JUBL FOOD, 0.45 ,FMCG
BSE-500,500055,BHUSH STEEL, 0.35 ,"Metal,Metal Products & Mining"
BSE-500,500850,INDIAN HOTEL, 0.65 ,Tourism
BSE-500,505200,EICHER MOTOR, 0.40 ,Transport Equipments
BSE-500,513377,M M T C LTD., 0.05 ,Miscellaneous
BSE-500,524494,IPCA LAB LTD, 0.55 ,Healthcare
BSE-500,532209,J&K BANK, 0.50 ,Finance
BSE-500,532652,KARNATAKA BK, 1.00 ,Finance
BSE-500,532733,SUN TVNET, 0.20 ,Media & Publishing
BSE-500,532779,TORNT POWER, 0.40 ,Power
BSE-500,532839,DISH TV, 0.40 ,Media & Publishing
BSE-500,500251,TRENT, 0.70 ,Miscellaneous
