"CANBK.BO","INE476A01014",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"SAIL.BO","INE114A01011",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"BANKBARODA.BO","INE028A01013",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"PETRONET.BO","INE347G01014",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"GLAXO.BO","INE159A01016",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"TORNTPOWER.BO","INE813H01021",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"TCS.BO","INE467B01029",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"TATAMOTORS.BO","INE155A01022",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"SESAGOA.BO","INE205A01025",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"LT.BO","INE018A01030",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"MCDOWELL-N.BO","INE854D01016",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"HDFCBANK.BO","INE040A01026",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"ASHOKLEY.BO","INE208A01029",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"AMBUJACEM.BO","INE079A01024",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"TECHM.BO","INE669C01028",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
