"BHARATFORG.BO","INE465A01025","Bharat Forge Ltd.","2013-02-07",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","CASTINGS/FORGINGS","CONTINUOUS",0,1.00,"INR"
"BHARTIARTL.BO","INE397D01024","Bharti Airtel Ltd.","2013-02-11",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","","CONTINUOUS",0,1.00,"INR"
"BHEL.BO","INE257A01026","Bharat Heavy Electricals Ltd.","2013-05-20",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","","CONTINUOUS",0,1.00,"INR"
"BIDU","US0567521085","Baidu, Inc.","2013-02-06",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Agro-food","CONTINUOUS",0,1.00,"USD"
"BIIB","US09062X1037","Biogen Idec Inc","2014-02-11",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Biotechnology","CONTINUOUS",0,1.00,"USD"
"BIOCON.BO","INE376G01013","Biocon Ltd.","2013-02-11",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","PHARMACEUTICALS","CONTINUOUS",0,1.00,"INR"
"BMC","BMC","BMC Software, Inc.","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","unknown","CONTINUOUS",0,1.00,"USD"
"BOSCHLTD.BO","INE323A01026","Bosch Ltd.","1970-01-01",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","AUTO ANCILLARIES","CONTINUOUS",0,1.00,"INR"
"BPCL.BO","INE029A01011","Bharat Petroleum Corporation Ltd.","2013-02-11",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","","CONTINUOUS",0,1.00,"INR"
"BRCM","US1113201073","Broadcom Corporation","2013-02-07",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","IT","CONTINUOUS",0,1.00,"USD"
"CA","CA","CA Inc.","2014-02-11",1,"YAHOO","NASDAQ","DEFAULT_CATEGORY","Agro-food","CONTINUOUS",0,1.00,"USD"
"CAIRN.BO","INE910H01017","Cairn India Ltd.","2013-02-11",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","","CONTINUOUS",0,1.00,"INR"
"CANBK.BO","INE476A01014","Canara Bank","1970-01-01",1,"DEFAULT","NSEINDIA","DEFAULT_CATEGORY","BANKS","CONTINUOUS",0,1.00,"INR"
"CAT","CAT","Caterpillar, Inc. Common Stock","2014-01-21",1,"YAHOO","NYSE","DEFAULT_CATEGORY","Vehicles and Equipment","CONTINUOUS",0,1.00,"USD"
